2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 02:35:54,282 p=1579080 u=root n=ansible | changed: [localhost]
2024-12-05 02:35:54,330 p=1579080 u=root n=ansible | PLAY [Lets Go!] *************************************************************************************************************************************************************************************
2024-12-05 02:35:54,386 p=1579080 u=root n=ansible | TASK [Create directory for ansible custom facts] ****************************************************************************************************************************************************
2024-12-05 02:35:54,386 p=1579080 u=root n=ansible | ok: [localhost] => {
    "msg": "[ Python: 3.11.2, OS: Debian 12.8 (x86_64), Ansible: 2.14.17]"
}
2024-12-05 02:35:54,427 p=1579080 u=root n=ansible | PLAY [Generate Bitbucket images] ********************************************************************************************************************************************************************
2024-12-05 02:35:54,967 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Read versions from file] ************************************************************************************************************************************************
2024-12-05 02:35:54,967 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:35:55,045 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Set version variable] ***************************************************************************************************************************************************
2024-12-05 02:35:55,046 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:35:55,613 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Create directories for Bitbucket versions] ******************************************************************************************************************************
2024-12-05 02:35:55,614 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.0.3)
2024-12-05 02:35:55,895 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.1.2)
2024-12-05 02:35:56,166 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.1)
2024-12-05 02:35:56,446 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.4)
2024-12-05 02:35:56,730 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.3.1)
2024-12-05 02:35:57,703 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy .env with link from template to each version directory] ************************************************************************************************************
2024-12-05 02:35:57,704 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.0.3)
2024-12-05 02:35:58,248 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.1.2)
2024-12-05 02:35:58,804 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.1)
2024-12-05 02:35:59,423 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.4)
2024-12-05 02:35:59,968 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.3.1)
2024-12-05 02:36:00,623 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy docker-compose.yml from template to each version directory] ********************************************************************************************************
2024-12-05 02:36:00,624 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.0.3)
2024-12-05 02:36:01,153 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.1.2)
2024-12-05 02:36:01,735 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.1)
2024-12-05 02:36:02,315 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.4)
2024-12-05 02:36:02,929 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.3.1)
2024-12-05 02:36:03,681 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile from template to each version directory] ****************************************************************************************************************
2024-12-05 02:36:03,682 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.0.3)
2024-12-05 02:36:04,265 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.1.2)
2024-12-05 02:36:04,934 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.1)
2024-12-05 02:36:05,610 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.4)
2024-12-05 02:36:06,209 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.3.1)
2024-12-05 02:36:06,834 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy entrypoint.sh from 'files' directory to each version directory] ****************************************************************************************************
2024-12-05 02:36:06,834 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.0.3)
2024-12-05 02:36:07,408 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.1.2)
2024-12-05 02:36:07,963 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.1)
2024-12-05 02:36:08,536 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.4)
2024-12-05 02:36:09,077 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.3.1)
2024-12-05 02:36:09,745 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Makefile from 'files' directory to each version directory] *********************************************************************************************************
2024-12-05 02:36:09,745 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.0.3)
2024-12-05 02:36:10,333 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.1.2)
2024-12-05 02:36:10,871 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.1)
2024-12-05 02:36:11,429 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.2.4)
2024-12-05 02:36:11,942 p=1579080 u=root n=ansible | changed: [localhost] => (item=1.3.1)
2024-12-05 02:36:12,222 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Read versions from file] ************************************************************************************************************************************************
2024-12-05 02:36:12,223 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:36:12,361 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Set version variable] ***************************************************************************************************************************************************
2024-12-05 02:36:12,362 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:36:12,699 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Create directories for Bitbucket versions] ******************************************************************************************************************************
2024-12-05 02:36:12,700 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.0.3)
2024-12-05 02:36:12,963 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.1.2)
2024-12-05 02:36:13,237 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.2.0)
2024-12-05 02:36:13,518 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.3.1)
2024-12-05 02:36:13,832 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.4.2)
2024-12-05 02:36:14,199 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.5.4)
2024-12-05 02:36:14,496 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.6.5)
